Date,Heure,Artiste,Titre,Année de la chanson,Sexe,Pays d’Origine
2012-07-13,17H18,Serebro,Mama Luba (mama Lover),2011,Groupe,Russie
2012-07-13,17H29,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-13,17H31,Shy'm,Et Alors !,2012,F,France
2012-07-13,17H35,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-13,17H45,Superbus,A La Chaine,2012,Groupe,France
2012-07-13,17H49,Rihanna,Rude Boy,2010,F,USA
2012-07-13,17H52,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-13,17H56,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-13,18H00,Jenifer,Sur Le Fil,2012,F,France
2012-07-13,18H06,Emeli Sande,next to me        1,2012,F,Inconnu
2012-07-13,18H07,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-13,18H10,Katy Perry,Wide Awake,2012,F,USA
2012-07-13,18H15,Cascada,Summer Of Love,2012,Groupe,Allemagne
2012-07-13,18H26,Pitbull,Back In Time,2012,H,USA
2012-07-13,18H29,Youssoupha,Dreamin,2012,H,France
2012-07-13,18H32,Usher,Scream,2012,H,USA
2012-07-13,18H46,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-13,18H50,Madonna,Girl Gone Wild,2012,F,USA
2012-07-13,18H57,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-13,19H00,Dry,Ma Melodie,2012,H,France
2012-07-13,19H03,Pink,Blow Me (one Last Kiss),2012,F,USA
2012-07-13,19H07,Jason De Rulo,Breathing,2011,H,USA
2012-07-13,19H11,Kenza Farah,Quelque Part,2012,F,France
2012-07-13,19H17,Sean Paul,Touch The Sky,2012,H,Jamaique
2012-07-13,19H27,Flo Rida,Whistle,2012,H,USA
2012-07-13,19H29,David Guetta,Metropolis,2012,H,France
2012-07-13,19H33,Maroon 5,Payphone,2012,Groupe,USA
2012-07-13,19H43,Laza Morgan,One By One,2011,H,Jamaique
2012-07-13,19H47,Martin Solveig,Hello,2010,H,France
2012-07-13,19H50,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-13,19H57,Pitbull,Get It Started,2012,H,USA
2012-07-13,19H57,Tacabro,Tacata,2012,Groupe,Italie
2012-07-13,20H12,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-13,21H23,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-13,21H23,Will i Am,This Is Love,2012,H,USA
2012-07-13,21H41,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-13,21H41,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-13,22H03,Dry,Ma Melodie,2012,H,France
2012-07-13,22H03,Owl City,Good Time,2012,H,USA
2012-07-13,22H23,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-13,22H31,Maroon 5,Payphone,2012,Groupe,USA
2012-07-13,22H31,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-13,22H40,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-13,23H03,Julian Perretta,Generation X,2012,H,Angleterre
2012-07-13,23H03,Sonia Y Selena,Yo Quiero Bailar,2001,Groupe,Espagne
2012-07-13,23H23,Shy'm,Et Alors !,2012,F,France
2012-07-13,23H28,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-13,23H28,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-14,06H02,Will i Am,This Is Love,2012,H,USA
2012-07-14,06H05,Katy Perry,Part Of Me,2012,F,USA
2012-07-14,06H09,Shakira,Addicted To You,2012,F,Colombie
2012-07-14,06H15,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-14,06H22,Usher,Scream,2012,H,USA
2012-07-14,06H25,Pink,Blow Me (one Last Kiss),2012,F,USA
2012-07-14,06H36,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-14,06H36,Shy'm,Et Alors !,2012,F,France
2012-07-14,06H39,Maroon 5,Payphone,2012,Groupe,USA
2012-07-14,06H48,Tacabro,Tacata,2012,Groupe,Italie
2012-07-14,06H52,Dry,Ma Melodie,2012,H,France
2012-07-14,06H57,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-14,07H01,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-14,07H04,Kenza Farah,Quelque Part,2012,F,France
2012-07-14,07H06,M Pokora,Juste Un Instant,2012,H,France
2012-07-14,07H10,Pitbull,Back In Time,2012,H,USA
2012-07-14,07H17,Mutine,Fille Ou Garcon,2012,Groupe,France
2012-07-14,07H23,Youssoupha,Dreamin,2012,H,France
2012-07-14,07H27,Agnes,Release Me,2008,F,Suede
2012-07-14,07H31,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-14,07H37,We Are Me,We Gon' Party,2012,Groupe,France
2012-07-14,07H40,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-14,07H51,Superbus,A La Chaine,2012,Groupe,France
2012-07-14,07H55,Taio Cruz,There She Goes,2012,H,Angleterre
2012-07-14,08H00,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-14,08H04,Corneille,Co-pilot,2012,Groupe,Canada
2012-07-14,08H10,Matt Houston,Positif,2012,H,France
2012-07-14,08H16,Suarez,Qu'est Ce Que J'aime Ca,2010,Groupe,Belgique
2012-07-14,08H23,Shakira,Addicted To You,2012,F,Colombie
2012-07-14,08H26,Inna Modja,French Cancan,2011,F,Cameroun
2012-07-14,08H29,Dry,Ma Melodie,2012,H,France
2012-07-14,08H35,Leslie,Des Mots Invincibles,2012,F,France
2012-07-14,08H39,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-14,08H49,Justin Nozuka,Heartless (promesse),2010,H,USA
2012-07-14,08H52,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-14,09H01,Maroon 5,Payphone,2012,Groupe,USA
2012-07-14,09H02,Shy'm,Et Alors !,2012,F,France
2012-07-14,09H06,Pitbull,Back In Time,2012,H,USA
2012-07-14,09H09,Lary Lambert,Faut Qu'on Se Parle,2012,H,France
2012-07-14,09H16,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-14,09H20,Basto,I Rave You,2012,H,Belgique
2012-07-14,09H27,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-14,09H35,Dj Antoine,Ma Cherie,2011,H,Suisse
2012-07-14,09H35,Jali,Un Jour Ou L'autre,2011,H,Belgique
2012-07-14,09H39,Youssoupha,Dreamin,2012,H,France
2012-07-14,09H52,Owl City,Good Time,2012,H,USA
2012-07-14,09H59,Birdy,Skinny Love,2008,F,USA
2012-07-14,10H00,Matt Houston,Happy Birthday,2012,H,France
2012-07-14,10H02,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-14,10H06,Emeli Sande,next to me        1,2012,F,Inconnu
2012-07-14,10H08,Michael Jackson,The Way You Make Me Feel,1988,H,USA
2012-07-14,10H10,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-14,10H15,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-14,10H25,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-14,10H32,Katy Perry,Wide Awake,2012,F,USA
2012-07-14,10H32,Sexion D'assaut,Ma Direction,2012,Groupe,France
2012-07-14,10H36,Shakira,Addicted To You,2012,F,Colombie
2012-07-14,10H47,Elisa Tovati,Il Nous Faut,2011,F,France
2012-07-14,10H49,David Guetta,Metropolis,2012,H,France
2012-07-14,10H53,Flo Rida,Whistle,2012,H,USA
2012-07-14,10H56,Jenifer,Sur Le Fil,2012,F,France
2012-07-14,11H00,Dry,Ma Melodie,2012,H,France
2012-07-14,11H03,Maroon 5,Payphone,2012,Groupe,USA
2012-07-14,11H07,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-14,11H15,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-14,11H15,Nelly Furtado,Say It Right,2006,F,Canada
2012-07-14,11H25,Sean Paul,Touch The Sky,2012,H,Jamaique
2012-07-14,11H29,Kelly Clarkson,Stronger,2012,F,USA
2012-07-14,11H33,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-14,11H37,Matt Houston,Positif,2012,H,France
2012-07-14,11H47,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-14,11H51,Adele,Set Fire To The Rain,2011,F,Angleterre
2012-07-14,11H58,Youssoupha,Dreamin,2012,H,France
2012-07-14,12H02,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-14,12H03,Taio Cruz,There She Goes,2012,H,Angleterre
2012-07-14,12H07,Birdy,Skinny Love,2008,F,USA
2012-07-14,12H13,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-14,12H13,Lady Gaga,Just Dance,2008,F,USA
2012-07-14,12H24,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-14,12H27,Ellie Goulding,Lights,2011,F,Angleterre
2012-07-14,12H34,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-14,12H44,Will i Am,This Is Love,2012,H,USA
2012-07-14,12H48,Maroon 5,Moves Like Jagger,2011,Groupe,USA
2012-07-14,12H52,Shy'm,Et Alors !,2012,F,France
2012-07-14,12H59,Pitbull,Back In Time,2012,H,USA
2012-07-14,13H00,Mika,Elle Me Dit,2011,H,Angleterre
2012-07-14,13H03,Dry,Ma Melodie,2012,H,France
2012-07-14,13H07,Shakira,Addicted To You,2012,F,Colombie
2012-07-14,13H11,Kenza Farah,Quelque Part,2012,F,France
2012-07-14,13H17,Usher,Scream,2012,H,USA
2012-07-14,13H25,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-14,13H32,Corneille,Co-pilot,2012,Groupe,Canada
2012-07-14,13H32,Inna Modja,French Cancan,2011,F,Cameroun
2012-07-14,13H36,Maroon 5,Payphone,2012,Groupe,USA
2012-07-14,13H51,Dj Mam's,Zumba He Zumba Ha,2012,H,France
2012-07-14,13H54,Lily Allen,22,2009,F,France
2012-07-14,13H57,Youssoupha,Dreamin,2012,H,France
2012-07-14,14H01,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-14,14H03,Flo Rida,Whistle,2012,H,USA
2012-07-14,14H10,Birdy,Skinny Love,2008,F,USA
2012-07-14,14H16,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-14,14H24,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-14,14H28,Simple Plan,Jet Lag,2011,Groupe,Canada
2012-07-14,14H32,Khaled,C'est La Vie,2012,H,Algerie
2012-07-14,14H35,Taio Cruz,There She Goes,2012,H,Angleterre
2012-07-14,14H45,Ivyrise,Line Up The Stars,2012,Groupe,Angleterre
2012-07-14,14H49,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-14,14H52,M Pokora,Merci D'etre,2012,H,France
2012-07-14,15H00,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-14,15H03,Shakira,Addicted To You,2012,F,Colombie
2012-07-14,15H06,Jenifer,Sur Le Fil,2012,F,France
2012-07-14,15H09,David Guetta,Without You,2011,H,France
2012-07-14,15H12,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-14,15H16,Serebro,Mama Luba (mama Lover),2011,Groupe,Russie
2012-07-14,15H23,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-14,15H27,Kelly Clarkson,Stronger,2012,F,USA
2012-07-14,15H31,Sonia Y Selena,Yo Quiero Bailar,2001,Groupe,Espagne
2012-07-14,15H35,Dry,Ma Melodie,2012,H,France
2012-07-14,15H46,The Wanted,Chasing The Sun,2012,Groupe,Angleterre
2012-07-14,15H50,Katy Perry,E.t,2011,F,USA
2012-07-14,15H57,Matt Houston,Positif,2012,H,France
2012-07-14,16H00,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-14,16H02,Shy'm,Et Alors !,2012,F,France
2012-07-14,16H09,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-14,16H13,Justin Nozuka,Heartless (promesse),2010,H,USA
2012-07-14,16H17,Laza Morgan,One By One,2011,H,Jamaique
2012-07-14,16H28,Superbus,A La Chaine,2012,Groupe,France
2012-07-14,16H31,Usher,Scream,2012,H,USA
2012-07-14,16H46,Julian Perretta,Generation X,2012,H,Angleterre
2012-07-14,16H49,Avicii,Levels,2011,H,Suede
2012-07-14,16H53,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-14,16H59,Pitbull,Back In Time,2012,H,USA
2012-07-14,17H00,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-14,17H07,Shakira,Addicted To You,2012,F,Colombie
2012-07-14,17H24,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-14,17H24,Shaka Ponk,Let's Bang,2012,Groupe,France
2012-07-14,17H28,Madonna,Girl Gone Wild,2012,F,USA
2012-07-14,17H32,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-14,17H35,Taio Cruz,There She Goes,2012,H,Angleterre
2012-07-14,17H45,Kenza Farah,Quelque Part,2012,F,France
2012-07-14,17H49,Gym Class Heroes,Stereo Hearts,2011,Groupe,USA
2012-07-14,17H52,David Guetta,Metropolis,2012,H,France
2012-07-14,17H56,Lucenzo,Baila Morena,2010,H,France
2012-07-14,17H59,Flo Rida,Wild Ones,2011,H,USA
2012-07-14,18H00,Lylloo & Lorinda,Badam,2012,Groupe,Bresil
2012-07-14,18H03,Jack Holiday,Children 2012,2012,H,Suisse
2012-07-14,18H06,Rihanna,We Found Love,2011,F,USA
2012-07-14,18H09,Taio Cruz,Hangover,2011,H,Angleterre
2012-07-14,18H17,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-14,18H17,Remady,Single Ladies,2012,H,Suisse
2012-07-14,18H28,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-14,18H31,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-14,18H35,Basto,Again And Again,2011,H,Belgique
2012-07-14,18H43,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-14,18H49,Global Deejays,Hardcore Vibes,2012,Groupe,Autriche
2012-07-14,18H52,Calvin Harris,Let's Go,2012,H,Ecosse
2012-07-14,18H59,Keen V,Les Mots,2012,H,France
2012-07-14,19H00,David Guetta,Titanium,2011,H,France
2012-07-14,19H03,Matt Houston,Positif,2012,H,France
2012-07-14,19H14,Collectif Metisse,Z Dance,2012,Groupe,France
2012-07-14,19H17,Jennifer Lopez,Dance Again,2012,F,USA
2012-07-14,19H29,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-14,19H32,Bob Sinclar,Fuck With You,2012,H,France
2012-07-14,19H32,Nicki Minaj,Starships,2012,F,USA
2012-07-14,19H45,Michel Telo,Ai Se Eu Te Pego (nooossa,2011,H,Bresil
2012-07-14,19H51,Gusttavo Lima,Balada,2012,H,Bresil
2012-07-14,19H57,Rihanna,Where Have You Been,2012,F,USA
2012-07-15,06H02,Taio Cruz,There She Goes,2012,H,Angleterre
2012-07-15,06H06,Katy Perry,Wide Awake,2012,F,USA
2012-07-15,06H10,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-15,06H14,Inna,Amazing,2009,F,Roumanie
2012-07-15,06H18,Julian Perretta,Generation X,2012,H,Angleterre
2012-07-15,06H22,Laza Morgan,One By One,2011,H,Jamaique
2012-07-15,06H26,Simple Plan,Summer Paradise,2012,Groupe,Canada
